Name (Brand),Accuracy,Rating,Artificial,Broth,Price,Flavour,Seasoning,Key1,Key2,Key3,Tags,Comments
Nissin Damae Ramen,4,4,0,5,£0.70,Chicken,Sesame,Classic,Allrounder,Solid,"Chicken, Soup, Sesame, Herbs","The broth is fantastic. Classic Chicken flavouring and not too overpowering. I'd say the packets description of a 'soup' is perfect for this one. Initial confusion and correction over artificial taste, but I realised this was actually the aftertaste of the Sesame oil. May be one of the best broth's I'll get to review!"
Unif 100,3,4,0,4,£0.98,Pork Chop,Oil,Filling,Heavy,Solid,"Herbs, Pork, Fat","Straight away the instructions were a little weird. It stated you 'boil the water then add to bowl with noodles and seasoning, cover for 3 mins and serve.' So I instead done it the same way as Nissin does, put the seasoning into the bowl, boil the noodles with the water and pour the water into the bowl, mix then add noodles. Overall, a damn good surprise. The smell doesn't reflect the taste, but the broth was really good. It's a little odd I can't lie, but perhaps I've never really tried beefy/pork noodles before. Usually they're just Chicken, so probably worth taking that into consideration regarding my rating of the Broth and flavour. "
MAMA,5,4,1,4,£0.75,Hot and Spicy,None,Spicy,Powerful,Accurate,"Herbs, Spicy, Chillies, Chilli","The red broth is scary. First mouthful, instant heat, can feel it burn down the back of my throat, slight tickle inside of my mouth, maybe comparable to biting a jalapeno on its own. After several mouthfuls i've gotten used to it and its not that spicy. Might give it a 5/10 on spice. It's got a nice level, possibly optimal. My lips are going a bit numb though. After trying some of the broth too, I'd bump the spicy levels to a fair 6/10. It's not overwhelming and has a really nice heat level. The broth is quite strong, and quite literally tastes of Red Chillies. This would probably be really nice with some additional veggies and a few strips of chicken. Definitely one for adding stuff into. Just be aware, it literally just tastes of chillies and towards the end had this kind of weird strangeness to it, hence the point on artificial."
Nongshim,5,3,1,3,£0.95,Seafood,None,Accurate,Plentiful,Spicy,"Spicy, Seafood, Champong, Herbs, Squid, Fish","Well, it is Seafood flavoured, and it's kind of obvious but my god does it stink. Despite the smell, they're actually quite nice from the initial taste. Like a spicy squid flavour, but the squid flavour isnt that strong when eating the noodles. There's small pieces of fish or squid? I dunno, something i just chewed on felt like it! The broth is nice but something lets it down, you'd have to really love the taste of squid to get behind this one. The spicyness isn't that strong, but in the broth it's got a weird artificial sort of blend to it that I'm not very fond of. There's like, a smokyness to the squid aftertaste that doesn't sit right. I think it's fair to say, they're better than I expected, worse than I hoped. I also chose to use Plentiful as a keyword, because this might be the second biggest portion you can get for your money. At 124g, and the herbs/spices that came with it were a lot bigger than you'd expect."
Unif 100,1,1,5,1,£0.98,Beef,Oil,Aniseed,Plain,Disappointing,"Tapout, Nasty, Beef, Roasted, Herbs, Fat, Aniseed","Just to note. It literally says 'Artificial Roasted Beef' so hopefully it doesn't taste odd. As I'm cooking, I poured the seasoning packet into the bowl as per instructions, and there's a distinctive smell. after checking ingredients, there's aniseed in it. Initial taste of noodles, just pure aniseed, exactly what I was expecting. Aniseed in general is just so strong, I'm surprised they added it to these noodles. I'm almost finished with them, and these are by far some of the worst noodles I've had. The aniseed is all there is, there is literally zero beef flavour. Even in the broth, there is literally no resembelance to beef at all. What on earth is this packet... Maybe it's a culture thing, you must really like Aniseed to eat these because that's all it is. Disappointing."
"Guang You Chongqing

",1,1,3,1,£0.00,Sweet Potato,Vinegar,Aniseed,Disappointing,Disgusting,"Tapout, Nasty, Herbs","Literally no instructions on how to make these. I put everything into a bowl, added 400ml of boiling water, covered for 3 mins then stirred, covered for 2 and served. They smell horrible, they taste horrible and they're definitely the spiciest yet. Gonna tapout, they're just awful, what is it with aniseed in noodles. The seasoning is bay leaves, cinnamon, ginger and star anise. Couldn't find the pricing on the receipt, it has a weird name and was mostly in another language."
MAMA,3,4,1,4,£0.60,Pork,Oil,Classic,Allrounder,Solid,"Pork, Fat, Palm Oil","Not much to say about this one, a solid choice for the entry into making noodles. The broth is tasty, the flavours nice and the chilli isn't very strong, though adds a nice kick to the broth. It's nothing special, but does well overall."
Nongshim,5,4,0,3,£0.70,Hot and Spicy,None,Spicy,Allrounder,Solid,Sutah,"Real name is Sutah Ramen. Doesn't smell too spicy, got a nice fiery red color broth. Also one of the more larger packets of noodles I've gotten. "
Samyang,4,4,0,5,£1.00,Beef,None,Spicy,Allrounder,Solid,"Spicy, Herbs, Beef","Real name is Sogokimyun. Smells pretty good overall. Can't say it's like, beef flavour but its got that beefy sort of, taste to it I suppose. Possibly the second largest packet in the batch. I've gotta say, overall this was a really good bowl of ramen. I stated earlier that it doesnt have much of a beefy flavour, but I think the flavourings kind of settled at the bottom of the bowl because once I got some bigger sips of broths, it was amazing. This may be the best beefy/meaty noodles out there. To think it could rival the Nissin Chicken noodles, was nothing but a beautiful surprise."
Nissin Damae Ramen,5,4,0,4,£0.70,Spicy Sesame,Sesame,Allrounder,Solid,Warming,"Warm, Sesame, Soup","I can just imagine having a bowl of this on a Winters day and feeling good about life. Nissin really nail these noodles. Absolutely nothing bad about it, this would be great with bits of chicken or pork, and veggies. It's not very spicy, but has more of a chilli kind of taste to it. "
